        word            tf        idf
sugar-hogshead       0.000921   0.000000  
sumf'n               0.000921   0.000000  
sumter               0.000921   0.000000  
sun-up               0.000921   0.000000  
sunday-school        0.000921   0.000000  
superintend          0.000921   0.000000  
supper               0.000921   0.000000  
sure                 0.000921   0.000000  
surpris              0.000921   0.000000  
swap                 0.000921   0.000000  
swear                0.000921   0.000000  
sweat                0.000921   0.000000  
sweati               0.000921   0.000000  
sword                0.000921   0.000000  
swore                0.000921   0.000000  
t'other              0.000921   0.000000  
tabl                 0.000921   0.000000  
tak                  0.000921   0.000000  
take                 0.000921   0.000000  
tall                 0.000921   0.000000  
tanyard              0.000921   0.000000  
teacher              0.000921   0.000000  
teeth                0.000921   0.000000  
ten                  0.000921   0.000000  
that'll              0.000921   0.000000  
thatcher             0.000921   0.000000  
thatcher'            0.000921   0.000000  
thickest             0.000921   0.000000  
think                0.000921   0.000000  
thirty-f             0.000921   0.000000  
though               0.000921   0.000000  
thought              0.000921   0.000000  
thousand             0.000921   0.000000  
thread               0.000921   0.000000  
three                0.000921   0.000000  
throat               0.000921   0.000000  
throw                0.000921   0.000000  
thunder              0.000921   0.000000  
ti                   0.000921   0.000000  
tie                  0.000921   0.000000  
tight                0.000921   0.000000  
till                 0.000921   0.000000  
tin                  0.000921   0.000000  
tipto                0.000921   0.000000  
tir                  0.000921   0.000000  
tiresom              0.000921   0.000000  
togeth               0.000921   0.000000  
told                 0.000921   0.000000  
toler                0.000921   0.000000  
tom                  0.000921   0.000000  
tom'                 0.000921   0.000000  
tommi                0.000921   0.000000  
took                 0.000921   0.000000  
top                  0.000921   0.000000  
toward               0.000921   0.000000  
town                 0.000921   0.000000  
track                0.000921   0.000000  
tract                0.000921   0.000000  
tranc                0.000921   0.000000  
treasur              0.000921   0.000000  
tri                  0.000921   0.000000  
troubl               0.000921   0.000000  
true                 0.000921   0.000000  
truth                0.000921   0.000000  
tuck                 0.000921   0.000000  
turnip               0.000921   0.000000  
turnip-cart          0.000921   0.000000  
twain                0.000921   0.000000  
twelv                0.000921   0.000000  
twig                 0.000921   0.000000  
twinkl               0.000921   0.000000  
two                  0.000921   0.000000  
u                    0.000921   0.000000  
uncomfort            0.000921   0.000000  
uncommon             0.000921   0.000000  
underneath           0.000921   0.000000  
understand           0.000921   0.000000  
understood           0.000921   0.000000  
unhitch              0.000921   0.000000  
upward               0.000921   0.000000  
uv                   0.000921   0.000000  
victual              0.000921   0.000000  
villag               0.000921   0.000000  
wak                  0.000921   0.000000  
wake                 0.000921   0.000000  
wall                 0.000921   0.000000  
waltz                0.000921   0.000000  
warn't               0.000921   0.000000  
watch-out            0.000921   0.000000  
water                0.000921   0.000000  
watson               0.000921   0.000000  
watson'              0.000921   0.000000  
weather              0.000921   0.000000  
week                 0.000921   0.000000  
well                 0.000921   0.000000  
went                 0.000921   0.000000  
whale                0.000921   0.000000  
whar                 0.000921   0.000000  
whatev               0.000921   0.000000  
whenev               0.000921   0.000000  
wherev               0.000921   0.000000  
whether              0.000921   0.000000  
whichev              0.000921   0.000000  
whippowil            0.000921   0.000000  
white                0.000921   0.000000  
who-whoo             0.000921   0.000000  
whoever              0.000921   0.000000  
whole                0.000921   0.000000  
wick                 0.000921   0.000000  
widow                0.000921   0.000000  
widow'               0.000921   0.000000  
window               0.000921   0.000000  
winn                 0.000921   0.000000  
winter               0.000921   0.000000  
without              0.000921   0.000000  
woman                0.000921   0.000000  
women                0.000921   0.000000  
wood                 0.000921   0.000000  
word                 0.000921   0.000000  
world                0.000921   0.000000  
worth                0.000921   0.000000  
write                0.000921   0.000000  
wrote                0.000921   0.000000  
yard                 0.000921   0.000000  
ye                   0.000921   0.000000  
